company_name,company_name_chinese,source,keyword_found,context,url,timestamp
"Zhanjiang Hengxing Special Feed Industrial Co., Ltd.",湛江恒兴特种饲料有限公司,web_search,Ethoxyquin,"Huoshan Hengxing Food Co.,Ltd. Date Published : 09/16/2009. Industy Estate ... Zhejiang Baixing Food Co.,Ltd. Date Published : 12/02/2014. NO. 5 ...",https://www.accessdata.fda.gov/cms_ia/importalert_259.html?ref=barkandwhiskers.com,2025-04-14T10:46:13.391006
"Zhanjiang Hengxing Special Feed Industrial Co., Ltd.",湛江恒兴特种饲料有限公司,web_search,Ethoxyquin,"Fish and feeding trial. The feeding experiment was conducted in a flow-through aquaculture system at Hengxing South Science and Technology Co., Ltd. (Zhanjiang, ...",https://www.sciencedirect.com/science/article/pii/S2352513425001334,2025-04-14T10:46:13.391028
"Zhanjiang Hengxing Special Feed Industrial Co., Ltd.",湛江恒兴特种饲料有限公司,web_search,Ethoxyquin,"Jun 17, 2020 ... Zhanjiang Hengxing South Ocean Technology Co., Ltd (Zhanjiang,. China) ... (Obtained from Zhanjiang Yuehai Feed Co. Ltd., Guangdong ...",https://onlinelibrary.wiley.com/doi/pdf/10.1111/anu.13134,2025-04-14T10:46:13.391032
"Zhanjiang Hengxing Special Feed Industrial Co., Ltd.",湛江恒兴特种饲料有限公司,web_search,Ethoxyquin,"Nov 30, 2014 ... China Machinery Engineering Suzhou Co., Ltd. Kitchen equipment,Hotel equipment,food processing. China (Mainland) Jiangsu Suzhou. Trading Company.",http://www.sell147.com/pdf/region/Jiangsu%20suppliers.pdf,2025-04-14T10:46:13.391035
"Zhanjiang Hengxing Special Feed Industrial Co., Ltd.",湛江恒兴特种饲料有限公司,web_search,Ethoxyquin,"Zhejiang Quzhou Zhongke Fine Chemical Co., Ltd. CHZ077. *. Zhejiang Sanmen Xie's Chemical Industrial Co.Ltd. CHZ078. *. Zhejiang Jiande Dayang Chemical Factory.",https://slideblast.com/download/march-2006-amazon-s3_595e04681723dd8abe4b0b5d.html,2025-04-14T10:46:13.391038
"Zhanjiang Hengxing Special Feed Industrial Co., Ltd.",湛江恒兴特种饲料有限公司,web_search,Ethoxyquin,... INDUSTRIAL & MINERO MEDIDO DE ESCALA UNIDAD DE CARGA CODIGO DE PROD FOX SRL ... CO LTD HONG KONG-CALLAO-12/03/2016 MFTO: 614 62.04.62.00.00-PANTALON ...,https://imports319.rssing.com/chan-34600625/all_p33.html,2025-04-14T10:46:13.391040
"Zhanjiang Hengxing Special Feed Industrial Co., Ltd.",湛江恒兴特种饲料有限公司,web_search,Ethoxyquin,"IMPORTACION MARITIMA, PUERTO DEL CALLAO IMPORTACIONES CALLAO: EXPORTADORES FECHA: 09 DICIEMBRE 2013(CALLAO) BUQUE: AS CATALANIA ORIGEN..¦EXPORTADOR.",https://embarcadores1.rssing.com/chan-15090345/all_p4.html,2025-04-14T10:46:13.391043
"Zhanjiang Hengxing Special Feed Industrial Co., Ltd.",湛江恒兴特种饲料有限公司,web_search,Ethoxyquin,... CO LTD CHANGSHU-CALLAO-28/12/2015 MFTO: 3391 72.12.40.00.00-ZUNCHO GARIBALDI (12.7 X 0 51) NEGRO/ R U.C. KG. ZUNAR-80 CODIGO.: 1312.20161. GARIBALDI ...,https://imports319.rssing.com/chan-34600625/all_p23.html,2025-04-14T10:46:13.391045
"Zhanjiang Hengxing Special Feed Industrial Co., Ltd.",湛江恒兴特种饲料有限公司,web_search,Ethoxyquin,... SPECIAL -WHISKY ESCOCES MEZCLADO Y A¥EJADO CON 40% DE ALCOHOL POR VOLUMEN ... INDUSTRY CO LTD QINGDAO-CALLAO-29/03/2016 MFTO: 712 87.15.00.10.00-COCHE ...,https://imports319.rssing.com/chan-34600625/all_p35.html,2025-04-14T10:46:13.391047
"Zhanjiang Hengxing Special Feed Industrial Co., Ltd.",湛江恒兴特种饲料有限公司,web_search,乙氧喹啉,... 乙二十丁厂七卜八人入儿匕几九刁了刀力乃又三干于亏工土士才下寸大丈与万上小口山巾千乞川亿个夕久么勺凡丸及广亡门丫义之尸己已巳弓子卫也女刃飞习叉马乡丰王开井天夫 ...,https://huggingface.co/openbmb/VisCPM-Chat/raw/main/vocab.txt,2025-04-14T10:46:13.391051
"Zhanjiang Hengxing Special Feed Industrial Co., Ltd.",湛江恒兴特种饲料有限公司,web_search,乙氧喹啉,... 喹嗑噎畦眈睦瞌6402 畸瞒呐呦唏唠喃嗬嘞嚆晞6403 曚矇呔哒哝哧吰6404 吱哎哗哮啵晔睖時6405 嘩曄瞱6406 嗜瞄睹咕咭喏喵嗒嘻6408 喷哄嗔嚏咴6409 瞭咻啉 ... 氧氟羌 ...,https://storage.googleapis.com/google-code-archive-downloads/v2/code.google.com/vimim/vimim.txt,2025-04-14T10:46:13.391053
"Zhanjiang Hengxing Special Feed Industrial Co., Ltd.",湛江恒兴特种饲料有限公司,web_search,乙氧喹啉,... 氧上午风云输育儿改进煤炭ZHANG 订THE PSP 渝食物合法毒现金qq 人类时刻状财乙 ... Industrial Induﬆrial 洋its 竞赛年龄收集Cancer 喷潘效导购An 爱好连锁播报支部 ...,https://raw.githubusercontent.com/tesseract-ocr/langdata/master/chi_sim/chi_sim.wordlist,2025-04-14T10:46:13.391056
